Country,Population_2022,Population_2023,Yearly_Growth(%)
Albania,"2,866,376","2,842,321",-1%
Algeria,"45,350,148","46,015,402",1%
Andorra,"77,463","77,528",0%
Angola,"35,027,343","35,590,470",2%
Argentina,"45,479,118","45,510,318",0%
Armenia,"2,784,367","2,767,175",-1%
Australia,"26,068,792","26,554,968",2%
Austria,"9,027,999","9,121,716",1%
Azerbaijan,"10,345,562","10,434,567",1%
Bahrain,"1,831,737","1,896,821",4%
Bangladesh,"169,356,251","170,046,000",0%
Belarus,"9,280,632","9,240,841",0%
Belgium,"11,691,496","11,712,602",0%
Belize,"428,774","434,374",1%
Bermuda,"63,689","63,779",0%
Bolivia,"12,006,991","12,166,073",1%
Brazil,"214,304,896","216,422,446",1%
Bulgaria,"6,853,431","6,791,823",-1%
Burkina Faso,"22,100,037","22,724,446",3%
Cambodia,"17,168,639","17,440,123",2%
Canada,"38,929,902","39,561,605",2%
Cayman Islands,"68,464","69,304",1%
Central African Republic,"5,454,533","5,645,630",4%
Chad,"17,414,108","17,882,867",3%
Chile,"19,604,396","19,798,982",1%
China,"1,410,539,758","1,411,750,000",0%
Colombia,"51,512,762","51,915,978",1%
Costa Rica,"5,173,195","5,216,758",1%
Croatia,"4,036,355","4,012,201",-1%
Cyprus,"1,244,188","1,251,612",1%
Denmark,"5,876,452","5,894,493",0%
Dominican Republic,"11,117,873","11,291,288",2%
Ecuador,"17,954,812","18,191,381",1%
Egypt,"109,262,178","111,399,000",2%
El Salvador,"6,550,389","6,589,700",1%
Estonia,"1,335,839","1,329,460",0%
Ethiopia,"122,184,529","125,239,974",3%
Finland,"5,541,274","5,545,673",0%
France,"64,673,548","64,826,995",0%
French Guiana,"309,760","317,229",2%
Gabon,"2,444,465","2,495,028",2%
Gambia,"2,694,640","2,755,100",2%
Georgia,"3,729,635","3,678,489",-1%
Germany,"83,965,871","84,466,208",1%
Ghana,"33,475,870","34,121,046",2%
Gibraltar,"33,679","33,950",1%
Greece,"10,249,964","10,180,872",-1%
Grenada,"125,438","126,873",1%
Guadeloupe,"400,132","403,314",1%
Guam,"171,753","172,972",1%
Guatemala,"19,679,728","20,121,613",2%
Honduras,"10,432,860","10,670,154",2%
Hong Kong,"7,419,269","7,488,000",1%
Hungary,"9,573,735","9,497,000",-1%
Iceland,"376,248","380,000",1%
India,"1,417,173,173","1,428,601,000",1%
Indonesia,"278,771,609","282,370,000",1%
Iran,"88,550,570","89,200,000",1%
Iraq,"43,533,592","44,307,000",2%
Ireland,"5,088,958","5,142,000",1%
Israel,"9,621,205","9,795,000",2%
Italy,"58,795,830","58,485,050",-1%
Japan,"125,710,463","125,702,000",0%
Jordan,"11,327,214","11,630,000",3%
Kazakhstan,"19,450,025","19,711,000",1%
Kenya,"55,600,234","56,978,000",2%
Kuwait,"4,300,646","4,459,000",4%
Kyrgyzstan,"6,768,092","6,914,000",2%
Laos,"7,612,973","7,734,000",2%
Latvia,"1,851,295","1,848,000",0%
Lebanon,"5,387,993","5,525,000",3%
Liberia,"5,401,350","5,538,000",3%
Liechtenstein,"39,327","39,473",0%
Lithuania,"2,631,787","2,601,000",-1%
Luxembourg,"661,293","668,000",1%
Macao,"667,490","677,000",1%
Madagascar,"30,629,340","31,347,000",2%
Malaysia,"33,757,489","34,194,000",1%
Malta,"543,195","547,000",1%
Martinique,"371,246","375,000",1%
Mexico,"127,504,125","130,262,000",2%
Moldova,"2,548,749","2,537,000",0%
Monaco,"40,436","40,500",0%
Mongolia,"3,409,939","3,464,000",2%
Montenegro,"621,078","618,000",0%
Myanmar,"55,227,143","55,535,000",1%
Nepal,"30,618,744","30,752,000",0%
Netherlands,"17,627,550","17,790,000",1%
New Caledonia,"289,198","291,000",1%
New Zealand,"5,127,546","5,188,000",1%
Nigeria,"218,541,212","224,654,000",3%
Norway,"5,480,212","5,523,000",1%
Pakistan,"231,381,920","237,118,000",2%
Peru,"34,116,889","34,732,000",2%
Philippines,"115,056,524","116,973,000",2%
Poland,"37,828,154","37,500,000",-1%
Portugal,"10,135,309","10,178,000",0%
Puerto Rico,"3,225,982","3,191,000",-1%
Qatar,"2,773,770","2,909,000",5%
Romania,"18,619,117","18,661,000",0%
Russia,"145,512,842","144,000,000",-1%
San Marino,"34,086","34,000",0%
Saudi Arabia,"35,844,909","36,337,000",1%
Senegal,"18,937,809","19,344,000",2%
Serbia,"6,690,887","6,644,000",-1%
Singapore,"5,637,000","5,721,000",1%
Slovakia,"5,454,978","5,448,000",0%
Slovenia,"2,107,007","2,101,000",0%
South Africa,"60,997,500","62,365,000",2%
South Korea,"51,671,345","51,737,000",0%
Spain,"46,700,264","46,762,000",0%
Sri Lanka,"21,723,550","21,810,000",0%
Sudan,"47,576,356","48,108,000",1%
Sweden,"10,441,456","10,491,000",0%
Switzerland,"8,796,669","8,908,000",1%
Taiwan,"23,305,031","23,254,000",0%
Tajikistan,"10,081,503","10,262,000",2%
Thailand,"69,622,858","70,322,000",1%
Togo,"8,878,672","9,131,000",3%
Trinidad and Tobago,"1,532,233","1,541,000",1%
Turkey,"85,341,241","86,225,000",1%
Turkmenistan,"6,211,596","6,308,000",2%
Uganda,"47,249,585","48,581,000",3%
Ukraine,"41,374,043","41,167,000",-1%
United Arab Emirates,"9,657,759","9,892,000",2%
Uzbekistan,"35,014,097","36,023,000",3%
Venezuela,"28,774,479","28,703,000",0%
Vietnam,"98,116,047","99,300,000",1%
Zambia,"19,585,872","20,187,000",3%
